Brand,Name,Flavours,Country,Calories,Total Carbohydrates,Type of Carbohydrates,Glucose,Fructose,GCD,Carb ratio,Sodium,Potassium ,Chloride,Magnesium ,Caffeine,Serving Size,,Protein
c,6d Sports Nutrition Energy Gel ,Cola + Caffeine ,Belgium ,120,30,"Maltodextrin, Fructose ",2,1,1,2:1,200,0,0,0,75,40,,0
6d sports ,6d Sports Nutrition Sport Gel ,Lemon ,,120,30,"Maltodextrin, Fructose ",2,1,1,2:1,200,0,0,0,0,45 mL,,
6d sports ,6d Sports Nutrition Sport Gel ,Red Fruits,,120,30,"Maltodextrin, Fructose ",2,1,1,2:1,200,0,0,0,0,45 mL,,
6d sports ,6d Sports Nutrition Sport Gel ,Mango ,,120,30,"Maltodextrin, Fructose ",2,1,1,2:1,200,0,0,0,0,45 mL,,
6d sports ,6d Sports Nutrition Sport Gel ,Cola + Caffeine ,,120,30,"Maltodextrin, Fructose ",2,1,1,2:1,200,0,0,0,75,45 mL,,0
6d sports ,6d Sports Nutrition Iso Gels ,Apple ,,81,20,Maltodextrin,,,,,0,0,0,0,0,60 mL,,0
6d sports ,6d Sports Nutrition Iso Gels ,Orange,,81,20,Maltodextrin,,,,,0,0,0,0,0,60,,
6d sports ,6d Sports Nutrition Iso Gels ,Lime,,81,20,Maltodextrin,,,,,0,0,0,0,0,60,,
6d sports ,6d Sports Nutrition Iso Gels ,Pineapple  + Caffeine ,,81,20,Maltodextrin,,,,,0,0,0,0,75,60,,0
6d sports ,6d Sports Nutrition Ultra Gel ,Kiwi,,180,45,"Maltodextrin, Fructose ",1,1,1,1:1,200,0,0,0,75,70,,0
6d sports ,6d Sports Nutrition Ultra Gel ,Peach ,,180,45,"Maltodextrin, Fructose ",1,1,1,1:1,200,0,0,0,0,70,,0
6d sports ,6d Sports Nutrition Ultra Gel ,Blackcurrant + Caffeine ,,180,45,"Maltodextrin, Fructose ",1,1,1,1:1,200,0,0,0,75,70,,
AMACX Turbo Gel,AMACX Turbo Gel,Citrus,Netherlands,160,40,"Maltodextrin, Fructose ",1,0.8,1,1:0.8,200,0,0,0,0,60,,0
AMACX Turbo Gel,AMACX Turbo Gel,Cola Lime,,160,40,"Maltodextrin, Fructose ",1,0.8,1,1:0.8,200,0,0,0,0,60,,
AMACX Turbo Gel,AMACX Turbo Gel,Cassis + Caffeine,,160,40,"Maltodextrin, Fructose ",1,0.8,1,1:0.8,200,0,0,0,100,60,,0
Amino Saurus ,Amino Saurus Gel ,Mango ,Japan,123,25,"Maltodextrin, Fructose ",,,,,0,0,0,50,75,45 g,,
Amino Saurus ,Amino Saurus Gel ,Lemon ,,111,22,"Maltodextrin, Fructose ",,,,,0,0,0,50,0,45 g,,
ajinomoto ,Amino Vital Energy Gel,Grapefruit ,Japan,109,24.4,"Glucose, Sucrose ",,,,,20,0,0,0,0,45 g,,
Bare Performance Nutrition ,Bare Performance ,Apple Cinnamon ,USA,100,24,"Glucose, Fructose ",,,,,110,144,0,0,0,41  g,,
Bare Performance Nutrition ,Bare Performance ,Berry,,100,24,"Glucose, Fructose ",,,,,110,145,0,0,0,41 g,,
Bare Performance Nutrition ,Bare Performance ,Mango ,,100,24,"Glucose, Fructose ",,,,,110,145,0,0,0,41 g,,
boom!,Boom Nutrition Carb Boom! Energy Gel,Apple Cinnamon ,USA,110,26,Maltodextrin,9,1,1,9:1,50,50,0,0,0,41 g,,
boom!,Boom Nutrition Carb Boom! Energy Gel,Banana Peach ,,100,26,Maltodextrin,9,1,1,9:1,50,45,0,0,0,42 g,,
boom!,Boom Nutrition Carb Boom! Energy Gel,Grape Pomegranate ,,110,26,Maltodextrin,9,1,1,9:1,50,60,0,0,0,43 g,,
boom!,Boom Nutrition Carb Boom! Energy Gel,Raspberry,,110,26,Maltodextrin,9,1,1,9:1,50,50,0,0,0,44 g,,
boom!,Boom Nutrition Carb Boom! Energy Gel,Strawberry Kiwi ,,110,26,Maltodextrin,9,1,1,9:1,55,50,0,0,0,45 g,,
boom!,Boom Nutrition Carb Boom! Energy Gel,Vanilla Orange ,,110,26,Maltodextrin,9,1,1,9:1,50,45,0,0,0,46 g,,
Carbs Fuel ,Carbs Fuel ,Original ,USA,200,50,"Maltodextrin, Sucrose, Fructose",2,1,1,2:1,105,0,0,0,0,55 mL,,
Carno Power ,Carno Power ,Ramune ,Japan,108,26.92,"Maltodextrin, Fructose ",,,,,0,0,0,0,0,40 g,,
Chargel,Chargel Gel Drink ,Strawberry,,180,45,"Maltodextrin, Sucrose, Fructose",,,,,65,50,0,0,0,180 g,,
Chargel,Chargel Gel Drink ,Green Apple ,,180,45,"Maltodextrin, Sucrose, Fructose",,,,,105,50,0,0,0,180 g ,,
Chargel,Chargel Gel Drink ,White Grape ,,180,45,"Maltodextrin, Sucrose, Fructose",,,,,60,50,0,0,0,180 g ,,
Fixx,Gel X Pro ,Raspberry Fizz,Australia,120,29.3,"Glucose, Fructose",1,0.8,1,1:0.8,200,0,0,0,0,40 g,,
Fixx,Gel X Pro ,Vanilla Maple,,120,29.3,"Glucose, Fructose",1,0.8,1,1:0.8,200,0,0,0,50,41 g,,
Fixx,Gel X Pro ,Coldbrew Espresso ,,120,29.3,"Glucose, Fructose",1,0.8,1,1:0.8,220,0,0,0,75,42 g,,
Fixx,Gel X Pro ,Lemon Sorbet,,120,29.3,"Glucose, Fructose",1,0.8,1,1:0.8,220,0,0,0,0,43 g,,
Fixx,Gel X Pro ,Pear Cider ,,120,29.3,"Glucose, Fructose",1,0.8,1,1:0.8,220,0,0,0,0,44 g,,
Endurance Tap ,Endurance Tap Energy Gel,Canadian Maple Syrup,Canada ,100,25,"Sucrose, Glucose, Fructose ",1,1,1,1:1,50,90,0,5,0,45 g,,
Endurance Tap ,Endurance Tap Energy Gel Caffeinated ,Canadian Maple Syrup,,100,25,"Sucrose, Glucose, Fructose ",1,1,1,1:1,50,90,0,5,35,46 g,,
Enervit ,Enervit Gel,Citrus,Italy,160,40,"Maltodextrin, Fructose ",2,1,1,2:1,0,0,0,0,0,60 mL,,
Enervit ,Enervit Gel,Lime,,160,40,"Maltodextrin, Fructose ",2,1,1,2:1,0,0,0,0,0,60 mL,,
Enervit ,Enervit Gel,Cola + Caffeine ,,160,40,"Maltodextrin, Fructose ",2,1,1,2:1,0,0,0,0,100,60 mL,,
First Endurance,First Endurance,Wild Berry,USA,110,28,"Maltodextrin, Glucose",,,,,75,40,0,20,0,44 g,,
First Endurance,First Endurance,Kona Mocha + Caffeine ,,110,28,"Maltodextrin, Glucose",,,,,75,40,0,20,25,44 g,,
Gu,GU Energy Gel,Chocolate Outrage + Caffeine,USA,100,21,"Maltodextrin, Fructose ",3,1,1,3:1,50,0,0,0,20,32 g,,
Gu,GU Energy Gel,Tri-Berry + Caffeine,,100,23,"Maltodextrin, Fructose ",3,1,1,3:1,55,0,0,0,20,32 g,,
Gu,GU Energy Gel,Vanilla + Caffeine,,100,22,"Maltodextrin, Fructose ",3,1,1,3:1,60,0,0,0,20,32 g,,
Gu,GU Energy Gel,Strawberry Banana,,100,23,"Maltodextrin, Fructose ",3,1,1,3:1,55,0,0,0,0,32 g,,
Gu,GU Energy Gel,Cola Me Happy + Caffeine,,100,22,"Maltodextrin, Fructose ",3,1,1,3:1,60,0,0,0,40,32 g,,
Gu,GU Energy Gel,Salted Caramel + Caffeine,,100,22,"Maltodextrin, Fructose ",3,1,1,3:1,125,0,0,0,20,32 g,,
Gu,GU Energy Gel,Birthday Cake ,,100,22,"Maltodextrin, Fructose ",3,1,1,3:1,60,0,0,0,0,32 g,,
Gu,GU Energy Gel,Campfire S'Mores,,100,22,"Maltodextrin, Fructose ",3,1,1,3:1,60,0,0,0,0,32 g,,
Gu,GU Energy Gel,Jet Blackberry + Caffeine,,100,22,"Maltodextrin, Fructose ",3,1,1,3:1,55,0,0,0,40,32 g,,
Gu,GU Energy Gel,Lemon Sublime,,100,23,"Maltodextrin, Fructose ",3,1,1,3:1,55,0,0,0,0,32 g,,
Gu,GU Energy Gel,Salted Watermelon + Caffeine,,100,22,"Maltodextrin, Fructose ",3,1,1,3:1,125,0,0,0,20,32 g,,
Gu,GU Energy Gel,Tastefullly Nude + Caffeine,,100,23,"Maltodextrin, Fructose ",3,1,1,3:1,60,0,0,0,20,32 g,,
Gu,GU Energy Gel,Mandarin Orange + Caffeine,,100,23,"Maltodextrin, Fructose ",3,1,1,3:1,60,0,0,0,20,32 g,,
Gu,GU Energy Gel,Espresso Love + Caffeine,,100,23,"Maltodextrin, Fructose ",3,1,1,3:1,60,0,0,0,40,32 g,,
Gu,GU Energy Gel,Caramel Machhiato + Caffeine,,100,22,"Maltodextrin, Fructose ",3,1,1,3:1,60,0,0,0,40,32 g,,
Gu,GU Energy Gel,Raspberry Lemonade ,,100,23,"Maltodextrin, Fructose ",3,1,1,3:1,55,0,0,0,0,32 g,,
Gu,Gu Roctane Energy Gel ,Cold Brew + Caffeine,,100,21,"Maltodextrin, Fructose ",,,,,125,0,0,0,70,32 g,,
Gu,Gu Roctane Energy Gel ,Blueberry Pomegrante + Caffeine,,100,21,"Maltodextrin, Fructose ",,,,,125,0,0,0,35,32 g,,
Gu,Gu Roctane Energy Gel ,Chocolate Coconut + Caffeine,,100,20,"Maltodextrin, Fructose ",,,,,125,0,0,0,35,32 g,,
Gu,Gu Roctane Energy Gel ,Vanilla Orange + Caffeine,,100,21,"Maltodextrin, Fructose ",,,,,125,0,0,0,35,32 g,,
Gu,Gu Roctane Energy Gel ,Pineapple,,100,21,"Maltodextrin, Fructose ",,,,,125,0,0,0,0,32 g,,
Gu,Gu Roctane Energy Gel ,Cherry Lime + Caffeine,,100,21,"Maltodextrin, Fructose ",,,,,125,0,0,0,35,32 g,,
Gu,Gu Roctane Energy Gel ,Strawberry Kiwi,,100,21,"Maltodextrin, Fructose ",,,,,125,0,0,0,0,32 g,,
Gu,Gu Roctane Energy Gel ,Lemonade ,,100,21,"Maltodextrin, Fructose ",,,,,180,0,0,0,0,32 g,,
Gu,Gu Roctane Energy Gel ,Sea Salt Chocolate + Caffeine,,100,19,"Maltodextrin, Fructose ",,,,,180,0,0,0,35,32 g,,
Gu,Gu Roctane Energy Gel ,Salted Lime + Caffeine ,,100,21,"Maltodextrin, Fructose ",,,,,190,0,0,0,35,32 g,,
Gu,GU Liquid Energy ,Lemonade ,,95,23,"Maltodextrin, Fructose ",,,,,190,0,0,0,0,60 g,,
Gu,GU Liquid Energy ,Coffee + Caffeine,,96,23,"Maltodextrin, Fructose ",,,,,190,0,0,0,40,60 g,,
Gu,GU Liquid Energy ,Orange + Caffeine,,95,23,"Maltodextrin, Fructose ",,,,,190,0,0,0,20,60 g,,
Gu,GU Liquid Energy ,Strawberry Banana,,95,23,"Maltodextrin, Fructose ",,,,,190,0,0,0,0,60 g,,
Gu,GU Liquid Energy ,Cola + Caffeine,,94,23,"Maltodextrin, Fructose ",,,,,190,0,0,0,40,60 g,,
Hammer Nutrition ,Hammer Gel,Apple Cinamon (seasonal),USA,90,22,Maltodextrin,1,1,1,1:1,95,26,0,0,0,33 g,,
Hammer Nutrition ,Hammer Gel,Chocolate ,,80,21,Maltodextrin,1,1,1,1:1,40,35,0,0,0,33 g,,
Hammer Nutrition ,Hammer Gel,Vanilla ,,90,22,Maltodextrin,1,1,1,1:1,25,13,0,0,0,33 g,,
Hammer Nutrition ,Hammer Gel,Raspberry,,90,22,Maltodextrin,1,1,1,1:1,60,3,0,0,0,33 g,,
Hammer Nutrition ,Hammer Gel,Tropical + Caffeine ,,90,22,Maltodextrin,1,1,1,1:1,25,1,0,0,25,33 g,,
Hammer Nutrition ,Hammer Gel,Banana ,,90,22,Maltodextrin,1,1,1,1:1,25,1,0,0,0,33 g,,
Hammer Nutrition ,Hammer Gel,Orange ,,90,22,Maltodextrin,1,1,1,1:1,30,45,0,0,0,33 g,,
Hammer Nutrition ,Hammer Gel,Espresso + Caffeine ,,90,22,Maltodextrin,1,1,1,1:1,35,0,0,0,50,33 g,,
Hammer Nutrition ,Hammer Gel,Montana Huckleberry,,90,22,Maltodextrin,1,1,1,1:1,30,0,0,0,0,33 g,,
Hammer Nutrition ,Hammer Gel,Hazelnut,,100,18,Maltodextrin,1,1,1,1:1,25,7.66,0,0,0,33 g,,
Hammer Nutrition ,Hammer Gel,Peanut Butter,,100,20,Maltodextrin,1,1,1,1:1,20,35,0,0,0,33 g,,
Hammer Nutrition ,Hammer Gel,Peanut Butter Chocolate ,,100,19,Maltodextrin,1,1,1,1:1,60,38.56,0,0,0,33 g,,
High5,High5 Energy Gel,Mango ,UK,91,23,"Glucose, Maltodextrin",,,,,0,0,0,0,0,40 g,,
High5,High5 Energy Gel,Blackcurrant ,,91,23,"Glucose, Maltodextrin",,,,,0,0,0,0,0,40 g,,
High5,High5 Energy Gel,Berry,,91,23,"Glucose, Maltodextrin",,,,,0,0,0,0,0,40 g,,
High5,High5 Energy Gel,Orange ,,91,23,"Glucose, Maltodextrin",,,,,0,0,0,0,0,40 g,,
High5,High5 Energy Gel,Citrus ,,91,23,"Glucose, Maltodextrin",,,,,0,0,0,0,0,40 g,,
High5,High5 Energy Gel,Banana ,,91,23,"Glucose, Maltodextrin",,,,,0,0,0,0,0,40 g,,
High5,High5 Energy Gel,Apple ,,91,23,"Glucose, Maltodextrin",,,,,0,0,0,0,0,40 g,,
High5,High5 Energy Gel Slow Release ,Blackcurrant ,,100,23,"Maltodextrin, Isomaltulose",,,,,0,0,0,60,0,62 g ,,
High5,High5 Energy Gel Slow Release ,Orange ,,100,23,"Maltodextrin, Isomaltulose",,,,,0,0,0,60,0,62 g ,,
High5,High5 Energy Gel Electrolyte ,Raspberry ,,91,23,"Glucose, Maltodextrin, Sucrose ",,,,,85,40,120,57,0,60 g,,
High5,High5 Energy Gel Electrolyte ,Tropical ,,91,23,"Glucose, Maltodextrin, Sucrose ",,,,,85,40,120,57,0,60 g ,,
High5,High5 Energy Gel Aqua ,Orange ,,95,23,"Glucose, Maltodextrin",,,,,0,0,0,0,30,66 g,,
High5,High5 Energy Gel Aqua ,Berry ,,95,23,"Glucose, Maltodextrin",,,,,0,0,0,0,0,66 g ,,
High5,High5 energy Gel Caffeine ,Orange ,,91,23,"Glucose, Maltodextrin",,,,,0,0,0,0,30,40 g,,
High5,High5 energy Gel Caffeine ,Raspberry ,,91,23,"Glucose, Maltodextrin",,,,,0,0,0,0,0,40 g,,
Honey Stinger,Honey Stinger Original Energy Gel,Honey,USA,90,24,"Glucose, fructose ",1,1,1,1:1,45,58,0,0,0,31 g,,
Honey Stinger,Honey Stinger Gel ,Fruit Smoothie + Caffeine ,,100,24,"Glucose, Fructose ",1,1,1,1:1,50,51,0,0,32,31 g ,,
Honey Stinger,Honey Stinger Gel ,Strawberry Kiwi ,,100,24,"Glucose, Fructose ",1,1,1,1:1,50,50,0,0,0,31 g ,,
Honey Stinger,Honey Stinger Gel ,Acai and Pomegranate ,,100,24,"Glucose, Fructose ",1,1,1,1:1,50,49,0,0,0,31 g ,,
Huma ,Huma Chia Energy Gel ,Apples and Cinnamon (Seasonal),USA,100,22,"Glucose, Fructose ",2,1,1,2:1,105,0,0,0,0,42 g,,1
Huma ,Huma Chia Energy Gel ,Strawberries ,,100,22,"Glucose, Fructose ",2,1,1,2:1,105,0,0,0,0,44 g,,1
Huma ,Huma Chia Energy Gel ,Mangoes ,,100,21,"Glucose, Fructose ",2,1,1,2:1,105,0,0,0,0,44 g,,1
Huma ,Huma Chia Energy Gel ,Cafe Mocha + Caffeine ,,100,25,"Glucose, Fructose ",2,1,1,2:1,110,0,0,0,50,36 g,,0
Huma ,Huma Chia Energy Gel ,Lemonade + Caffeine ,,100,22,"Glucose, Fructose ",2,1,1,2:1,105,0,0,0,25,39 g,,
Huma ,Huma Chia Energy Gel ,Blueberries ,,100,21,"Glucose, Fructose ",2,1,1,2:1,105,0,0,0,0,43 g,,
Huma ,Huma Chia Energy Gel ,Raspberries + Caffeine ,,100,21,"Glucose, Fructose ",2,1,1,2:1,105,0,0,0,25,42 g,,1
Huma ,Huma Chia Energy Gel ,Chocolate + Caffeine ,,100,25,"Glucose, Fructose ",2,1,1,2:1,110,0,0,0,25,36 g,,1
Huma ,Huma Plus ,Strawberry Lemonade + Caffeine ,,100,21,"Glucose, Fructose ",2,1,1,2:1,245,80,0,15,25,44 g,,
Huma ,Huma Plus ,Lemon and Limes + Caffeine ,,100,23,"Glucose, Fructose ",2,1,1,2:1,240,145,0,15,25,42 g,,
Huma ,Huma Plus ,Berries and Pomegranate ,,100,21,"Glucose, Fructose ",2,1,1,2:1,240,75,0,15,0,41 g,,
Huma ,Huma Plus ,Blackberry Banana ,,100,21,"Glucose, Fructose ",2,1,1,2:1,240,85,0,15,0,42 g,,
